"","L","US","rep","dem","female","employed","nonhispanic_white","bachelors","above_median_income","zip"
"1686",0,0,1,0,1,1,1,1,1,13211
"1687",1,1,0,0,0,0,0,0,0,22030
"1688",6,5,0,1,0,1,1,1,0,97225
"1689",6,7,0,1,1,0,1,0,0,32309
"1690",10,10,NA,NA,0,1,1,1,0,30317
"1691",0,1,1,0,1,0,1,0,1,32628
"1692",10,10,0,0,1,0,1,0,1,77550
"1693",10,10,0,1,1,1,1,0,0,48187
"1694",9,9,0,0,0,1,1,1,1,53719
"1695",10,10,0,1,1,0,1,1,0,79701
"1696",8,8,0,1,1,1,1,1,1,92705
"1697",4,5,0,1,0,1,0,1,1,2134
"1698",7,8,0,1,1,1,1,1,0,10314
"1699",8,8,0,1,1,0,0,0,0,70526
"1700",8,7,0,1,0,1,1,1,1,95123
"1701",9,9,0,0,1,0,0,0,0,27409
"1702",7,7,1,0,0,1,1,1,1,23511
"1703",3,3,NA,NA,0,0,1,0,0,41005
"1704",10,10,0,1,1,0,0,1,1,27407
"1705",10,10,0,1,0,1,1,1,0,41014
"1706",10,10,NA,NA,0,1,1,0,0,98133
"1707",9,10,0,1,1,0,0,1,0,55304
"1708",8,8,0,1,0,1,1,0,0,60302
"1709",0,0,1,0,1,1,1,0,0,67005
"1710",7,7,0,1,1,0,1,1,0,30033
"1711",5,7,0,1,1,1,1,1,1,53719
"1712",0,0,1,0,1,1,1,0,1,97114
"1713",10,10,1,0,0,1,1,0,1,5680
"1714",4,5,1,0,0,1,1,0,1,16801
"1715",8,8,0,1,1,0,1,1,1,94536
"1716",3,8,0,0,0,1,0,1,0,35801
"1717",0,0,0,0,1,0,1,0,0,14559
"1718",8,8,0,1,1,1,1,1,1,22315
"1719",3,3,0,0,1,1,1,0,0,80809
"1720",2,2,1,0,0,1,1,0,0,37934
"1721",10,10,0,1,0,1,1,1,1,20855
"1722",5,5,0,0,0,1,1,0,0,32603
"1723",3,3,1,0,1,1,1,1,0,79424
"1724",7,7,0,1,0,1,1,0,0,33764
"1725",5,5,0,0,1,1,1,0,0,50010
"1726",1,1,1,0,0,1,1,1,1,85730
"1727",1,2,1,0,0,1,0,1,1,91941
"1728",0,0,1,0,0,1,1,0,0,83204
"1729",2,1,1,0,1,1,1,1,1,73703
"1730",6,6,0,1,1,1,1,1,1,55025
"1731",9,9,0,0,1,0,1,0,0,48051
"1732",0,7,0,1,1,1,1,0,1,73099
"1733",5,6,0,0,1,1,1,1,1,28115
"1734",10,10,1,0,1,0,1,1,0,21085
"1735",8,8,NA,NA,0,1,1,1,0,55405
"1736",1,1,0,0,0,1,1,1,1,75022
"1737",1,6,1,0,0,1,1,0,1,2921
"1738",3,6,0,1,0,1,1,1,0,72653
"1739",9,9,0,1,1,1,1,1,1,8048
"1740",10,10,0,1,0,1,1,0,0,5401
"1741",2,3,1,0,1,0,1,0,0,14616
"1742",10,10,0,1,1,0,1,0,0,21911
"1743",7,8,0,0,1,1,0,0,0,45806
"1744",6,6,0,0,0,1,1,1,1,87401
"1745",4,7,0,1,1,0,1,0,1,33455
"1746",10,10,0,1,0,1,1,0,1,80840
"1747",2,3,1,0,1,1,1,0,0,67301
"1748",4,4,1,0,0,1,0,1,1,78218
"1749",8,9,0,0,0,0,1,1,0,7060
"1750",7,3,0,1,0,1,1,1,0,90001
"1751",0,0,0,0,1,1,1,1,1,70065
"1752",3,7,0,0,1,1,1,1,NA,30041
"1753",0,0,1,0,1,1,1,0,0,71964
"1754",1,1,1,0,1,1,1,0,0,16441
"1755",1,1,1,0,1,1,1,1,1,15202
"1756",5,7,0,1,1,1,1,1,0,64112
